date,stockClose
2026-01-02,4309.63
2026-01-05,4457.52
2026-01-06,4525.48
2026-01-07,4551.06
2026-01-08,4552.37
2026-01-09,4586.32
2026-01-12,4624.79
2026-01-13,4692.64
2026-01-14,4723.1
2026-01-15,4797.55
2026-01-16,4840.74
2026-01-19,4904.66
2026-01-20,4885.75
2026-01-21,4909.93
2026-01-22,4952.53
2026-01-23,4990.07
2026-01-26,4949.59
2026-01-27,5084.85
2026-01-28,5170.81
2026-01-29,5221.25
2026-01-30,5224.36
2026-02-02,4949.67
2026-02-03,5288.08
2026-02-04,5371.1
2026-02-05,5163.57
2026-02-06,5089.14
2026-02-09,5298.04
2026-02-10,5301.69
2026-02-11,5354.49
2026-02-12,5522.27
2026-02-13,5507.01
2026-02-19,5677.25
2026-02-20,5808.53
2026-02-23,5846.09
2026-02-24,5969.64
2026-02-25,6083.86
2026-02-26,6307.27
2026-02-27,6244.13
2026-03-03,5791.91
2026-03-04,5093.54
2026-03-05,5583.9
2026-03-06,5584.87
2026-03-09,5251.87
2026-03-10,5532.59
2026-03-11,5609.95
2026-03-12,5583.25
2026-03-13,5487.24
2026-03-16,5549.85
2026-03-17,5640.48
2026-03-18,5925.03
2026-03-19,5763.22
2026-03-20,5781.2
2026-03-23,5405.75
2026-03-24,5553.92
2026-03-25,5642.21
2026-03-26,5460.46
2026-03-27,5438.87
2026-03-30,5277.3
2026-03-31,5052.46
2026-04-01,5478.7
2026-04-02,5234.05
2026-04-03,5377.3
2026-04-06,5450.33
2026-04-07,5494.78
2026-04-08,5872.34
2026-04-09,5778.01
2026-04-10,5858.87
2026-04-13,5808.62
2026-04-14,5967.75
2026-04-15,6091.39
2026-04-16,6226.05
2026-04-17,6191.92
2026-04-20,6219.09
2026-04-21,6388.47
2026-04-22,6417.93
2026-04-23,6475.81
2026-04-24,6475.63
2026-04-27,6615.03
2026-04-28,6641.02
2026-04-29,6690.9
2026-04-30,6598.87
2026-05-04,6936.99
2026-05-06,7384.56
2026-05-07,7490.05
2026-05-08,7498
2026-05-11,7822.24
2026-05-12,7643.15
2026-05-13,7844.01
2026-05-14,7981.41
2026-05-15,7493.18
2026-05-18,7516.04
2026-05-19,7271.66
2026-05-20,7208.95
2026-05-21,7815.59
2026-05-22,7847.71
2026-05-26,8047.51
2026-05-27,8228.7
2026-05-28,8185.29
2026-05-29,8476.15
2026-06-01,8788.38
2026-06-02,8801.49
2026-06-04,8639.41
2026-06-05,8160.59
2026-06-08,7484.41
2026-06-09,8096.93
2026-06-10,7730.82
2026-06-11,7763.95
2026-06-12,8123.62
2026-06-15,8545.98
2026-06-16,8726.6
2026-06-17,8864.24
2026-06-18,9063.84
2026-06-19,9052.42
2026-06-22,9114.55
2026-06-23,8203.84
2026-06-24,8471.02
2026-06-25,8930.3
2026-06-26,8411.21
2026-06-29,8394.65
2026-06-30,8476.48
2026-07-01,8303.41
2026-07-02,7648.09
2026-07-03,8088.34
2026-07-06,8051.33
2026-07-07,7656.31
2026-07-08,7246.79
2026-07-09,7291.91
2026-07-10,7475.94
2026-07-13,6806.93
2026-07-14,6856.83
2026-07-15,7284.41
2026-07-16,6820.6
2026-07-20,6516.27
2026-07-21,6747.95
